time,temperature_2m_max (°F),temperature_2m_min (°F)
2020-01-01,60.3,34.2
2020-01-02,57.1,37.9
2020-01-03,59.9,31.8
2020-01-04,68.6,33.5
2020-01-05,72.3,34.2
2020-01-06,68.4,33.2
2020-01-07,72.5,36.6
2020-01-08,70.3,40.2
2020-01-09,67.1,39.8
2020-01-10,61.0,39.2
2020-01-11,64.4,31.4
2020-01-12,68.7,31.4
2020-01-13,69.9,37.6
2020-01-14,71.1,40.1
2020-01-15,72.1,42.7
2020-01-16,68.1,48.9
2020-01-17,64.4,42.5
2020-01-18,68.6,36.9
2020-01-19,76.1,41.1
2020-01-20,76.4,52.9
2020-01-21,72.5,49.4
2020-01-22,58.5,50.7
2020-01-23,66.9,38.9
2020-01-24,71.3,41.1
2020-01-25,71.3,41.7
2020-01-26,70.9,42.3
2020-01-27,69.4,45.8
2020-01-28,66.0,38.5
2020-01-29,64.3,36.1
2020-01-30,63.6,36.7
2020-01-31,66.5,35.0
2020-02-01,77.3,36.2
2020-02-02,77.8,44.8
2020-02-03,75.1,53.3
2020-02-04,56.7,36.5
2020-02-05,48.3,23.1
2020-02-06,56.9,25.4
2020-02-07,66.5,32.7
2020-02-08,74.0,36.9
2020-02-09,73.1,45.4
2020-02-10,70.1,50.8
2020-02-11,56.9,41.2
2020-02-12,58.5,39.7
2020-02-13,65.0,35.7
2020-02-14,71.3,41.6
2020-02-15,68.8,38.9
2020-02-16,72.6,38.0
2020-02-17,73.4,41.3
2020-02-18,77.6,41.9
2020-02-19,74.6,47.0
2020-02-20,79.4,43.2
2020-02-21,77.6,59.6
2020-02-22,67.1,56.1
2020-02-23,61.9,45.6
2020-02-24,66.0,39.3
2020-02-25,65.0,42.2
2020-02-26,65.3,37.8
2020-02-27,72.2,35.1
2020-02-28,77.6,45.6
2020-02-29,77.0,45.2
2020-03-01,74.7,54.4
2020-03-02,67.0,47.1
2020-03-03,63.2,45.9
2020-03-04,70.0,40.7
2020-03-05,81.0,44.2
2020-03-06,81.0,57.5
2020-03-07,81.5,52.9
2020-03-08,79.7,58.7
2020-03-09,74.7,45.6
2020-03-10,75.0,54.8
2020-03-11,75.5,58.9
2020-03-12,73.2,60.8
2020-03-13,66.0,53.9
2020-03-14,71.6,45.4
2020-03-15,78.5,47.4
2020-03-16,80.5,46.5
2020-03-17,79.1,52.0
2020-03-18,74.4,50.7
2020-03-19,63.2,46.1
2020-03-20,69.2,41.4
2020-03-21,73.5,46.9
2020-03-22,73.1,46.6
2020-03-23,74.5,56.0
2020-03-24,75.9,46.8
2020-03-25,83.4,48.8
2020-03-26,81.8,59.2
2020-03-27,63.2,45.7
2020-03-28,67.2,36.2
2020-03-29,73.9,44.3
2020-03-30,73.1,44.8
2020-03-31,81.2,44.4
2020-04-01,84.8,54.5
2020-04-02,83.8,57.0
2020-04-03,83.7,50.3
2020-04-04,83.2,50.5
2020-04-05,82.8,54.1
2020-04-06,81.9,52.8
2020-04-07,82.5,52.5
2020-04-08,83.2,55.8
2020-04-09,80.7,52.8
2020-04-10,77.2,45.2
2020-04-11,76.4,49.5
2020-04-12,73.2,42.2
2020-04-13,77.4,51.2
2020-04-14,77.8,50.4
2020-04-15,78.5,43.7
2020-04-16,84.3,46.0
2020-04-17,83.8,53.7
2020-04-18,81.1,51.5
2020-04-19,80.5,48.9
2020-04-20,83.9,53.0
2020-04-21,85.0,53.4
2020-04-22,82.6,52.3
2020-04-23,89.8,54.6
2020-04-24,93.0,57.4
2020-04-25,94.4,58.1
2020-04-26,97.7,58.1
2020-04-27,98.9,62.3
2020-04-28,96.6,58.8
2020-04-29,104.3,60.9
2020-04-30,100.1,65.7
2020-05-01,99.1,64.2
2020-05-02,97.6,65.9
2020-05-03,96.5,64.7
2020-05-04,93.8,60.5
2020-05-05,97.2,59.6
2020-05-06,103.5,61.0
2020-05-07,102.6,62.6
2020-05-08,100.9,66.8
2020-05-09,95.6,65.9
2020-05-10,93.9,73.0
2020-05-11,96.0,65.0
2020-05-12,94.1,65.2
2020-05-13,92.0,62.3
2020-05-14,90.3,60.2
2020-05-15,93.8,60.7
2020-05-16,98.0,62.4
2020-05-17,98.4,63.9
2020-05-18,96.9,62.2
2020-05-19,96.5,64.6
2020-05-20,90.9,56.9
2020-05-21,86.6,52.0
2020-05-22,93.1,55.4
2020-05-23,92.9,61.4
2020-05-24,91.7,62.0
2020-05-25,90.6,60.7
2020-05-26,98.3,61.3
2020-05-27,101.7,63.6
2020-05-28,103.6,68.1
2020-05-29,104.9,70.5
2020-05-30,101.6,77.6
2020-05-31,100.3,75.8
2020-06-01,99.8,73.2
2020-06-02,101.2,73.7
2020-06-03,102.7,72.4
2020-06-04,105.6,74.9
2020-06-05,105.7,74.4
2020-06-06,98.5,69.3
2020-06-07,94.2,66.8
2020-06-08,93.0,66.8
2020-06-09,90.6,55.8
2020-06-10,105.3,58.3
2020-06-11,104.0,66.3
2020-06-12,106.9,72.2
2020-06-13,106.4,72.2
2020-06-14,104.3,70.8
2020-06-15,103.9,70.8
2020-06-16,103.5,77.5
2020-06-17,102.1,70.5
2020-06-18,100.1,66.4
2020-06-19,100.4,64.8
2020-06-20,101.6,64.5
2020-06-21,100.9,69.1
2020-06-22,103.6,70.4
2020-06-23,104.1,70.4
2020-06-24,105.7,69.6
2020-06-25,108.6,74.2
2020-06-26,108.7,73.3
2020-06-27,104.6,80.5
2020-06-28,100.7,78.7
2020-06-29,98.5,74.0
2020-06-30,98.4,72.8
2020-07-01,98.0,71.1
2020-07-02,96.6,74.7
2020-07-03,103.0,69.2
2020-07-04,104.6,76.3
2020-07-05,105.4,75.8
2020-07-06,106.2,74.8
2020-07-07,105.7,78.1
2020-07-08,105.5,81.8
2020-07-09,105.0,80.1
2020-07-10,105.5,83.7
2020-07-11,107.1,83.3
2020-07-12,110.0,78.4
2020-07-13,104.3,86.1
2020-07-14,106.4,83.8
2020-07-15,105.9,84.1
2020-07-16,101.8,76.7
2020-07-17,100.9,83.1
2020-07-18,100.6,80.8
2020-07-19,103.4,82.3
2020-07-20,102.5,81.6
2020-07-21,101.7,80.1
2020-07-22,99.6,78.8
2020-07-23,97.3,70.8
2020-07-24,94.7,70.5
2020-07-25,94.8,77.2
2020-07-26,100.6,75.8
2020-07-27,101.0,81.3
2020-07-28,104.6,79.5
2020-07-29,107.6,78.7
2020-07-30,108.1,78.1
2020-07-31,109.0,81.2
2020-08-01,109.3,82.6
2020-08-02,104.8,81.2
2020-08-03,103.9,82.8
2020-08-04,104.2,75.3
2020-08-05,107.4,78.5
2020-08-06,106.0,74.2
2020-08-07,104.9,77.5
2020-08-08,103.9,76.5
2020-08-09,104.8,75.7
2020-08-10,106.4,75.0
2020-08-11,105.5,78.0
2020-08-12,105.0,80.3
2020-08-13,107.5,79.3
2020-08-14,109.2,78.8
2020-08-15,109.1,83.0
2020-08-16,106.2,80.4
2020-08-17,106.8,79.4
2020-08-18,107.5,81.5
2020-08-19,107.3,81.3
2020-08-20,106.9,81.6
2020-08-21,101.5,72.6
2020-08-22,99.1,81.0
2020-08-23,104.1,80.7
2020-08-24,105.9,81.6
2020-08-25,105.9,80.7
2020-08-26,104.8,80.3
2020-08-27,105.4,77.5
2020-08-28,105.0,77.9
2020-08-29,99.7,82.6
2020-08-30,92.0,71.6
2020-08-31,89.5,73.0
2020-09-01,94.4,73.1
2020-09-02,95.5,74.8
2020-09-03,100.4,74.3
2020-09-04,108.6,73.3
2020-09-05,107.7,83.9
2020-09-06,105.8,80.8
2020-09-07,104.4,76.6
2020-09-08,101.8,81.2
2020-09-09,91.3,72.9
2020-09-10,89.0,58.3
2020-09-11,88.4,62.9
2020-09-12,96.7,63.0
2020-09-13,95.3,68.8
2020-09-14,95.1,73.7
2020-09-15,96.9,74.4
2020-09-16,101.5,67.3
2020-09-17,102.0,71.5
2020-09-18,100.2,75.9
2020-09-19,101.7,75.3
2020-09-20,98.8,74.9
2020-09-21,98.4,73.1
2020-09-22,96.5,73.0
2020-09-23,97.4,70.2
2020-09-24,100.3,68.1
2020-09-25,99.7,67.9
2020-09-26,99.4,67.3
2020-09-27,97.8,67.2
2020-09-28,101.0,63.0
2020-09-29,97.6,72.3
2020-09-30,100.3,66.2
2020-10-01,100.8,64.0
2020-10-02,101.9,66.8
2020-10-03,100.6,63.5
2020-10-04,101.0,61.7
2020-10-05,100.8,62.3
2020-10-06,99.8,60.6
2020-10-07,99.4,60.8
2020-10-08,99.6,63.3
2020-10-09,96.9,62.3
2020-10-10,95.0,62.2
2020-10-11,92.3,62.0
2020-10-12,95.3,58.0
2020-10-13,98.9,60.9
2020-10-14,98.0,61.2
2020-10-15,95.0,61.3
2020-10-16,98.8,59.4
2020-10-17,98.2,63.0
2020-10-18,94.0,57.9
2020-10-19,93.2,57.4
2020-10-20,93.1,56.2
2020-10-21,96.8,57.8
2020-10-22,92.7,61.1
2020-10-23,90.1,64.1
2020-10-24,89.5,63.5
2020-10-25,86.7,64.3
2020-10-26,82.0,61.2
2020-10-27,58.9,34.8
2020-10-28,67.9,37.2
2020-10-29,83.9,45.2
2020-10-30,90.5,56.1
2020-10-31,88.3,53.2
2020-11-01,90.3,61.4
2020-11-02,91.0,68.6
2020-11-03,95.7,63.8
2020-11-04,90.1,58.1
2020-11-05,93.8,57.2
2020-11-06,91.8,73.0
2020-11-07,88.7,74.3
2020-11-08,75.6,48.9
2020-11-09,65.9,46.1
2020-11-10,62.3,37.0
2020-11-11,70.6,36.4
2020-11-12,73.1,40.6
2020-11-13,72.9,43.8
2020-11-14,72.8,42.7
2020-11-15,81.2,39.5
2020-11-16,89.8,48.9
2020-11-17,93.4,59.1
2020-11-18,90.8,58.7
2020-11-19,87.5,58.9
2020-11-20,85.6,55.7
2020-11-21,83.5,55.6
2020-11-22,87.7,53.1
2020-11-23,80.9,54.0
2020-11-24,76.6,49.5
2020-11-25,70.7,40.0
2020-11-26,74.8,39.9
2020-11-27,68.0,39.0
2020-11-28,67.6,34.1
2020-11-29,73.8,34.2
2020-11-30,72.5,49.5
2020-12-01,69.3,36.9
